frame_count,send_time
0,1746786387.3431091
3000,1746786387.4032588
12000,1746786387.462802
15000,1746786387.551138
18000,1746786387.6132634
27000,1746786387.7336516
30000,1746786387.7981243
36000,1746786387.855166
48000,1746786387.9109318
51000,1746786387.974004
54000,1746786388.0532632
63000,1746786388.1134105
69000,1746786388.1726363
75000,1746786388.2529898
81000,1746786388.318281
84000,1746786388.397987
90000,1746786388.4859328
105000,1746786388.543013
108000,1746786388.696322
117000,1746786388.755132
129000,1746786388.8181002
135000,1746786388.9659398
141000,1746786389.0239465
153000,1746786389.0859854
165000,1746786389.224343
171000,1746786389.331561
174000,1746786389.3879328
180000,1746786389.4739096
192000,1746786389.5343015
195000,1746786389.6162355
204000,1746786389.6749973
207000,1746786389.797133
216000,1746786389.8560815
228000,1746786389.9122925
231000,1746786390.0079567
237000,1746786390.0793192
243000,1746786390.1491573
252000,1746786390.2177145
255000,1746786390.2830195
264000,1746786390.4782116
279000,1746786390.5581195
285000,1746786390.6720533
297000,1746786390.7520962
306000,1746786390.8317056
312000,1746786390.939168
321000,1746786391.0156431
327000,1746786391.1032362
333000,1746786391.2054791
345000,1746786391.2884007
357000,1746786391.3655295
363000,1746786391.4852412
366000,1746786391.5704613
378000,1746786391.6509109
384000,1746786391.726212
393000,1746786391.8049173
399000,1746786391.888537
408000,1746786391.9642174
411000,1746786392.0495927
420000,1746786392.1310287
429000,1746786392.180822
432000,1746786392.2348135
441000,1746786392.3322723
447000,1746786392.416325
450000,1746786392.4907997
459000,1746786392.5621216
468000,1746786392.6387491
474000,1746786392.7868536
483000,1746786392.8620684
498000,1746786392.9414704
501000,1746786393.0385902
507000,1746786393.1116467
510000,1746786393.3633394
540000,1746786393.4379742
546000,1746786393.508755
555000,1746786393.6003003
558000,1746786393.6741848
567000,1746786393.7487462
576000,1746786393.861023
585000,1746786393.939028
591000,1746786394.0222936
594000,1746786394.105027
606000,1746786394.1933687
612000,1746786394.2707129
621000,1746786394.3471458
630000,1746786394.4242344
633000,1746786394.531347
642000,1746786394.6107771
648000,1746786394.6863322
660000,1746786394.765192
666000,1746786394.8413599
672000,1746786394.917582
681000,1746786394.999445
684000,1746786395.392963
717000,1746786395.4861684
729000,1746786395.568746
735000,1746786395.6937282
747000,1746786395.7683249
756000,1746786395.8502164
768000,1746786396.0873497
771000,1746786396.1759295
792000,1746786396.2534664
801000,1746786396.3775535
810000,1746786396.4960568
819000,1746786396.57859
828000,1746786396.6967258
840000,1746786396.7745762
849000,1746786397.0431046
870000,1746786397.1216533
873000,1746786397.1983156
885000,1746786397.4392056
906000,1746786397.5142245
912000,1746786397.5975907
921000,1746786397.6764517
924000,1746786397.755915
933000,1746786397.9348733
945000,1746786398.028094
954000,1746786398.1054409
963000,1746786398.1817863
966000,1746786398.2589548
987000,1746786398.3396137
993000,1746786398.4161959
1005000,1746786398.4728112
1011000,1746786398.5492587
1017000,1746786398.6300106
1023000,1746786398.7076612
1032000,1746786398.781888
1038000,1746786398.855538
1044000,1746786398.9284055
1050000,1746786399.0061703
1056000,1746786399.0826728
1065000,1746786399.161086
1068000,1746786399.2350347
1071000,1746786399.3108575
1074000,1746786399.4068353
1080000,1746786399.479853
1086000,1746786399.815521
1095000,1746786399.8993132
1107000,1746786400.219018
1155000,1746786400.2996035
1161000,1746786401.597408
1236000,1746786401.684011
1266000,1746786401.7600093
1272000,1746786402.0134256
1308000,1746786402.0901341
1311000,1746786402.1656675
1317000,1746786402.333006
1323000,1746786402.4152198
1332000,1746786402.670811
1335000,1746786402.7469523
1350000,1746786403.0465155
1383000,1746786403.1289408
1392000,1746786403.2252696
1395000,1746786403.3108568
1416000,1746786403.3897924
1419000,1746786403.7028637
1443000,1746786403.7849863
1446000,1746786404.1055436
1479000,1746786404.1801336
1485000,1746786404.7950296
1518000,1746786404.8680587
1533000,1746786405.118361
1572000,1746786405.1922839
1584000,1746786405.3047123
1602000,1746786405.3780005
1614000,1746786405.5680857
1620000,1746786405.9608898
1641000,1746786406.0315773
1650000,1746786406.305623
1671000,1746786406.3839319
1677000,1746786407.4998639
1776000,1746786407.5783103
1782000,1746786407.650952
1785000,1746786407.9600859
1797000,1746786408.0330148
1806000,1746786408.807753
1899000,1746786408.892208
1917000,1746786408.9786787
1923000,1746786409.2222333
1935000,1746786409.2966156
1947000,1746786410.0376468
1974000,1746786410.1181457
1977000,1746786410.5571537
2040000,1746786410.6355681
2046000,1746786410.885988
2094000,1746786410.9645994
2112000,1746786411.3204043
2121000,1746786411.3914149
2130000,1746786412.7267718
2226000,1746786412.8054507
2259000,1746786412.885177
2262000,1746786413.0849478
2289000,1746786413.1586995
2301000,1746786413.4987543
2319000,1746786413.5729733
2334000,1746786413.6501036
2349000,1746786413.7646716
2358000,1746786413.9796686
2388000,1746786414.0620685
2400000,1746786414.1501203
2409000,1746786414.254997
2415000,1746786414.333668
2424000,1746786414.708937
2430000,1746786414.7815924
2433000,1746786415.141226
2466000,1746786415.2196987
2469000,1746786415.40355
2511000,1746786415.4792655
2523000,1746786415.7487643
2532000,1746786415.8269947
2541000,1746786416.127607
2562000,1746786416.2022753
