frame_count,arrival_time
0,1746452873.7247438
3000,1746452873.7330472
6000,1746452873.7453673
9000,1746452873.7865744
12000,1746452873.8238883
15000,1746452873.869739
18000,1746452873.8752956
21000,1746452873.9011207
24000,1746452873.9064186
27000,1746452873.98608
30000,1746452873.9887424
33000,1746452874.0221422
36000,1746452874.0566597
39000,1746452874.0902414
42000,1746452874.0961468
45000,1746452874.1224177
48000,1746452874.1530578
51000,1746452874.1971622
54000,1746452874.2292757
57000,1746452874.2592566
60000,1746452874.2859092
63000,1746452874.3166397
66000,1746452874.3368688
69000,1746452874.372307
72000,1746452874.4116666
75000,1746452874.4410975
78000,1746452874.495261
81000,1746452874.5196135
84000,1746452874.5599108
87000,1746452874.5854876
90000,1746452874.6187513
93000,1746452874.6504538
96000,1746452874.677892
99000,1746452874.704016
102000,1746452874.7463832
105000,1746452874.77559
108000,1746452874.8015282
111000,1746452874.8258393
114000,1746452874.8864748
117000,1746452874.9367454
120000,1746452874.9486043
123000,1746452874.9804056
126000,1746452875.0187361
129000,1746452875.0393653
132000,1746452875.079996
135000,1746452875.1061957
138000,1746452875.1296747
141000,1746452875.1755953
144000,1746452875.2056537
147000,1746452875.2302995
150000,1746452875.2590377
153000,1746452875.2815306
156000,1746452875.3537433
159000,1746452875.3920197
162000,1746452875.4370723
165000,1746452875.4650183
168000,1746452875.467774
171000,1746452875.5289128
174000,1746452875.5315232
177000,1746452875.578854
180000,1746452875.591136
183000,1746452875.6287525
186000,1746452875.6588297
189000,1746452875.6849806
192000,1746452875.739155
195000,1746452875.7693784
198000,1746452875.8112173
201000,1746452875.8466206
204000,1746452875.8793654
207000,1746452875.9161375
210000,1746452875.9411066
213000,1746452875.9788773
216000,1746452876.0162356
219000,1746452876.0580199
222000,1746452876.068715
225000,1746452876.11624
228000,1746452876.1304948
231000,1746452876.196281
234000,1746452876.2060442
237000,1746452876.2393634
240000,1746452876.3060703
243000,1746452876.308382
246000,1746452876.3385975
249000,1746452876.36928
252000,1746452876.3990028
255000,1746452876.4264352
258000,1746452876.4510074
261000,1746452876.504104
264000,1746452876.529073
267000,1746452876.5642338
270000,1746452876.5995417
273000,1746452876.6585999
276000,1746452876.6840346
279000,1746452876.7093928
282000,1746452876.7490497
285000,1746452876.7841887
288000,1746452876.8167384
291000,1746452876.8571436
294000,1746452876.8820214
297000,1746452876.9056973
300000,1746452876.9401996
303000,1746452876.963522
306000,1746452876.9917977
309000,1746452877.0243952
312000,1746452877.1038923
315000,1746452877.1061792
318000,1746452877.1559253
321000,1746452877.2001588
324000,1746452877.20333
327000,1746452877.2258253
330000,1746452877.2835746
333000,1746452877.3105962
336000,1746452877.3585148
339000,1746452877.369978
342000,1746452877.4573283
345000,1746452877.4968884
348000,1746452877.499178
351000,1746452877.5298796
354000,1746452877.5607023
357000,1746452877.5629704
360000,1746452877.6238122
363000,1746452877.672221
366000,1746452877.6750565
369000,1746452877.716196
372000,1746452877.747421
375000,1746452877.7818139
378000,1746452877.8415744
381000,1746452877.8901474
384000,1746452877.9317257
387000,1746452877.9338121
390000,1746452877.9667184
393000,1746452877.9963672
396000,1746452878.0364978
399000,1746452878.0666356
402000,1746452878.1093044
405000,1746452878.1261387
408000,1746452878.197425
411000,1746452878.2250566
414000,1746452878.2384486
417000,1746452878.2650359
420000,1746452878.3272223
423000,1746452878.3699694
426000,1746452878.3719265
429000,1746452878.4057558
432000,1746452878.4365752
435000,1746452878.4765365
438000,1746452878.4996288
441000,1746452878.5044692
444000,1746452878.556605
447000,1746452878.5812008
450000,1746452878.647101
453000,1746452878.6775992
456000,1746452878.7159934
459000,1746452878.7505405
462000,1746452878.7532716
465000,1746452878.783542
468000,1746452878.8293498
471000,1746452878.8841386
474000,1746452878.8872359
477000,1746452878.9196293
480000,1746452878.9488974
483000,1746452878.9903514
486000,1746452879.0710342
489000,1746452879.0735443
492000,1746452879.1062148
495000,1746452879.138525
498000,1746452879.168122
501000,1746452879.1894898
504000,1746452879.215506
507000,1746452879.2580116
510000,1746452879.2900627
513000,1746452879.3362055
516000,1746452879.3662846
519000,1746452879.416788
522000,1746452879.446671
525000,1746452879.4802947
528000,1746452879.5164568
531000,1746452879.5460615
534000,1746452879.6360936
537000,1746452879.6752713
540000,1746452879.7164462
543000,1746452879.7437067
546000,1746452879.7463043
549000,1746452879.8167987
552000,1746452879.8360336
555000,1746452879.8403893
558000,1746452879.8804626
561000,1746452879.9061613
564000,1746452879.956697
567000,1746452879.9756541
570000,1746452880.0034747
573000,1746452880.0243394
576000,1746452880.0768723
579000,1746452880.079423
582000,1746452880.143772
585000,1746452880.1793022
588000,1746452880.2178226
591000,1746452880.2568147
594000,1746452880.2747154
597000,1746452880.3167229
600000,1746452880.344298
603000,1746452880.3795938
606000,1746452880.4195867
609000,1746452880.4471996
612000,1746452880.4742715
615000,1746452880.5108151
618000,1746452880.545396
621000,1746452880.5735233
624000,1746452880.6037729
627000,1746452880.6468244
630000,1746452880.6978166
633000,1746452880.7376878
636000,1746452880.7766578
639000,1746452880.8067336
642000,1746452880.83503
645000,1746452880.865134
648000,1746452880.9094086
651000,1746452880.9368453
654000,1746452881.0158045
657000,1746452881.0451634
660000,1746452881.0707502
663000,1746452881.1058311
666000,1746452881.1328905
669000,1746452881.1630309
672000,1746452881.1990662
675000,1746452881.2237735
678000,1746452881.2516837
681000,1746452881.2910776
684000,1746452881.3192933
687000,1746452881.343512
690000,1746452881.4105096
693000,1746452881.4181557
696000,1746452881.4790757
699000,1746452881.5086572
702000,1746452881.5310695
705000,1746452881.5643895
