frame_count,send_time
0,1746718469.3391001
6000,1746718469.4017572
12000,1746718469.4611645
15000,1746718469.5186632
21000,1746718469.579614
27000,1746718469.640035
33000,1746718469.695528
39000,1746718469.7514164
42000,1746718469.8215091
48000,1746718469.8963265
57000,1746718469.953468
60000,1746718470.0083835
66000,1746718470.063105
72000,1746718470.1162946
75000,1746718470.1748495
81000,1746718470.2298229
84000,1746718470.2858288
90000,1746718470.3443031
96000,1746718470.402241
102000,1746718470.4617517
105000,1746718470.5198867
114000,1746718470.5781488
117000,1746718470.6407115
123000,1746718470.6976867
126000,1746718470.7576048
135000,1746718470.813827
138000,1746718470.867533
144000,1746718470.9243832
150000,1746718470.9801533
153000,1746718471.0463083
159000,1746718471.1760125
171000,1746718471.249379
177000,1746718471.3227158
186000,1746718471.410584
192000,1746718471.4968076
198000,1746718471.5678701
207000,1746718471.6523154
213000,1746718471.7245505
222000,1746718471.8011234
228000,1746718471.873609
234000,1746718471.9460106
240000,1746718472.0238678
246000,1746718472.118747
255000,1746718472.1962392
261000,1746718472.2725234
270000,1746718472.3483784
276000,1746718472.4196713
282000,1746718472.4792976
288000,1746718472.5535467
294000,1746718472.632666
300000,1746718472.7072754
309000,1746718472.7804031
315000,1746718472.853238
321000,1746718472.9277275
330000,1746718473.0025578
336000,1746718473.0770638
342000,1746718473.149412
348000,1746718473.2268374
357000,1746718473.3041406
363000,1746718473.3774202
369000,1746718473.450573
375000,1746718473.5352447
384000,1746718473.6085036
390000,1746718473.678571
396000,1746718473.752379
402000,1746718473.822367
408000,1746718473.8969662
417000,1746718473.9708853
423000,1746718474.0483277
429000,1746718474.121948
438000,1746718474.1943843
441000,1746718474.266162
447000,1746718474.3389528
456000,1746718474.4111216
462000,1746718474.4886122
468000,1746718474.5626433
474000,1746718474.6367078
483000,1746718474.7104049
489000,1746718474.7932692
498000,1746718474.868702
504000,1746718474.9427898
510000,1746718475.0281618
516000,1746718475.1032016
525000,1746718475.1724584
531000,1746718475.2466488
537000,1746718475.3241656
543000,1746718475.4023678
552000,1746718475.4848065
558000,1746718475.5563912
564000,1746718475.630431
573000,1746718475.70288
579000,1746718475.7771494
582000,1746718475.8604257
591000,1746718475.9378903
600000,1746718476.0121207
606000,1746718476.0846205
612000,1746718476.1585038
618000,1746718476.2337737
627000,1746718476.3130167
633000,1746718476.3843377
639000,1746718476.458047
648000,1746718476.5331228
654000,1746718476.6065238
660000,1746718476.683733
666000,1746718476.757896
672000,1746718476.836387
681000,1746718476.9095519
687000,1746718476.9827237
693000,1746718477.0675945
699000,1746718477.1445496
708000,1746718477.2207448
714000,1746718477.293147
723000,1746718477.3655694
726000,1746718477.4392471
735000,1746718477.5141177
741000,1746718477.5849633
747000,1746718477.6590784
756000,1746718477.7313318
762000,1746718477.8043525
768000,1746718477.878729
774000,1746718477.9550965
780000,1746718478.05345
789000,1746718478.1316779
798000,1746718478.2067301
804000,1746718478.2817159
810000,1746718478.354089
816000,1746718478.4285119
822000,1746718478.5105686
831000,1746718478.5857904
837000,1746718478.6575356
843000,1746718478.733084
852000,1746718478.809297
858000,1746718478.8838394
864000,1746718478.9571092
870000,1746718479.042391
879000,1746718479.1179948
885000,1746718479.1927893
891000,1746718479.2643714
900000,1746718479.338979
906000,1746718479.411566
912000,1746718479.4829996
