frame_count,send_time
0,1746718469.2284446
3000,1746718469.2534196
6000,1746718469.273418
9000,1746718469.320981
12000,1746718469.353861
15000,1746718469.3851492
18000,1746718469.419924
21000,1746718469.4539375
24000,1746718469.4821813
27000,1746718469.5133789
30000,1746718469.5453854
33000,1746718469.5773673
36000,1746718469.6086056
39000,1746718469.6425567
42000,1746718469.6730871
45000,1746718469.7205892
48000,1746718469.7529616
51000,1746718469.7849035
54000,1746718469.8161216
57000,1746718469.8495808
60000,1746718469.8811033
63000,1746718469.9126701
66000,1746718469.9451137
69000,1746718469.9769392
72000,1746718470.0094466
75000,1746718470.0411623
78000,1746718470.0730813
81000,1746718470.122413
84000,1746718470.1546211
87000,1746718470.1881073
90000,1746718470.2190106
93000,1746718470.2491996
96000,1746718470.2847815
99000,1746718470.3144197
102000,1746718470.3447304
105000,1746718470.3772676
108000,1746718470.4098344
111000,1746718470.441324
114000,1746718470.4728816
117000,1746718470.5053966
120000,1746718470.5548923
123000,1746718470.5884132
126000,1746718470.6207442
129000,1746718470.6507702
132000,1746718470.6813803
135000,1746718470.714297
138000,1746718470.7452712
141000,1746718470.7776172
144000,1746718470.8091347
147000,1746718470.8411384
150000,1746718470.8734078
153000,1746718470.9057581
156000,1746718470.9534314
159000,1746718470.985358
162000,1746718471.0181391
165000,1746718471.049962
168000,1746718471.0840344
171000,1746718471.116563
174000,1746718471.1469762
177000,1746718471.1807854
180000,1746718471.2089636
183000,1746718471.2430935
186000,1746718471.2747617
189000,1746718471.3053744
192000,1746718471.3561125
195000,1746718471.3879604
198000,1746718471.4226267
201000,1746718471.4518192
204000,1746718471.4863906
207000,1746718471.5132332
210000,1746718471.5457447
213000,1746718471.5782468
216000,1746718471.6096652
219000,1746718471.6444998
222000,1746718471.6782181
225000,1746718471.7057006
228000,1746718471.753709
231000,1746718471.7857099
234000,1746718471.817214
237000,1746718471.8513465
240000,1746718471.8865292
243000,1746718471.9153707
246000,1746718471.9478493
249000,1746718471.980766
252000,1746718472.0117347
255000,1746718472.042883
258000,1746718472.076165
261000,1746718472.107002
264000,1746718472.155663
267000,1746718472.1863084
270000,1746718472.2177868
273000,1746718472.2513835
276000,1746718472.2837229
279000,1746718472.3148394
282000,1746718472.3469245
285000,1746718472.379578
288000,1746718472.4100664
291000,1746718472.4415646
294000,1746718472.475179
297000,1746718472.5056794
300000,1746718472.5535545
303000,1746718472.5892575
306000,1746718472.6174135
309000,1746718472.6582603
312000,1746718472.6844375
315000,1746718472.718193
318000,1746718472.7457428
321000,1746718472.780191
324000,1746718472.81244
327000,1746718472.8430223
330000,1746718472.8773425
333000,1746718472.906739
336000,1746718472.9580252
339000,1746718472.9882004
342000,1746718473.0207605
345000,1746718473.0533714
348000,1746718473.0850408
351000,1746718473.1162739
354000,1746718473.1477444
357000,1746718473.181572
360000,1746718473.2092013
363000,1746718473.2442048
366000,1746718473.2740417
369000,1746718473.3078082
372000,1746718473.3545113
375000,1746718473.385432
378000,1746718473.4205194
381000,1746718473.4550676
384000,1746718473.482588
387000,1746718473.5150926
390000,1746718473.551323
393000,1746718473.580954
396000,1746718473.6124337
399000,1746718473.6461236
402000,1746718473.679366
405000,1746718473.7082858
408000,1746718473.7549324
411000,1746718473.7865758
414000,1746718473.8213341
417000,1746718473.8515332
420000,1746718473.8819761
423000,1746718473.9165802
426000,1746718473.9452455
429000,1746718473.9777455
432000,1746718474.0107465
435000,1746718474.0425029
438000,1746718474.0793152
441000,1746718474.1065311
444000,1746718474.1593158
447000,1746718474.1894734
450000,1746718474.2238243
453000,1746718474.2561893
456000,1746718474.287572
459000,1746718474.3230357
462000,1746718474.3464224
465000,1746718474.3794472
468000,1746718474.4149172
471000,1746718474.4435313
474000,1746718474.4802551
477000,1746718474.5117667
480000,1746718474.5605235
483000,1746718474.5923882
486000,1746718474.6233826
489000,1746718474.6548786
492000,1746718474.68556
495000,1746718474.7204037
498000,1746718474.746932
501000,1746718474.7790222
504000,1746718474.812535
507000,1746718474.8435454
510000,1746718474.8771694
513000,1746718474.9097743
516000,1746718474.959146
519000,1746718474.9880059
522000,1746718475.0236385
525000,1746718475.0547123
528000,1746718475.0852175
531000,1746718475.1207278
534000,1746718475.1508114
537000,1746718475.1827915
540000,1746718475.2148013
543000,1746718475.2480016
546000,1746718475.276561
549000,1746718475.3082945
552000,1746718475.35578
555000,1746718475.3877034
558000,1746718475.4232728
561000,1746718475.4536288
564000,1746718475.4865932
567000,1746718475.5160978
570000,1746718475.5478687
573000,1746718475.5825214
576000,1746718475.61241
579000,1746718475.6493084
582000,1746718475.6785746
585000,1746718475.709218
588000,1746718475.7609859
591000,1746718475.7889705
594000,1746718475.821225
597000,1746718475.8557408
600000,1746718475.8878253
603000,1746718475.917477
606000,1746718475.9507322
609000,1746718475.9824312
612000,1746718476.0137022
615000,1746718476.047769
618000,1746718476.0781999
621000,1746718476.1103265
624000,1746718476.1551056
627000,1746718476.1871052
630000,1746718476.2185986
633000,1746718476.2508378
636000,1746718476.2827592
639000,1746718476.317279
642000,1746718476.3508215
645000,1746718476.3789678
648000,1746718476.4112082
651000,1746718476.4456413
654000,1746718476.4761467
657000,1746718476.5083642
660000,1746718476.5564754
663000,1746718476.5910249
666000,1746718476.6254869
669000,1746718476.6560435
672000,1746718476.6888196
675000,1746718476.7198293
678000,1746718476.7458708
681000,1746718476.7788706
684000,1746718476.8102682
687000,1746718476.8428073
690000,1746718476.876125
693000,1746718476.9070363
696000,1746718476.9584548
699000,1746718476.9903417
702000,1746718477.024451
705000,1746718477.0544553
