frame_count,raw_arrival_time,arrival_time
0,1746789083.1763823,1746789089.9383388
15000,1746789083.2405572,1746789090.0025136
21000,1746789083.3648915,1746789090.126848
24000,1746789083.4143221,1746789090.1762786
27000,1746789083.4778485,1746789090.239805
36000,1746789083.5468595,1746789090.308816
45000,1746789083.6069787,1746789090.368935
51000,1746789083.6539836,1746789090.41594
57000,1746789083.7910464,1746789090.5530028
69000,1746789083.8766365,1746789090.638593
75000,1746789083.9601567,1746789090.7221131
84000,1746789084.0236192,1746789090.7855756
90000,1746789084.0867906,1746789090.848747
96000,1746789084.20115,1746789090.9631064
105000,1746789084.265376,1746789091.0273325
111000,1746789084.3280725,1746789091.090029
117000,1746789084.391711,1746789091.1536674
126000,1746789084.4731195,1746789091.235076
129000,1746789084.5648427,1746789091.3267992
138000,1746789084.6297643,1746789091.3917208
144000,1746789084.7098594,1746789091.4718158
153000,1746789084.8076713,1746789091.5696278
159000,1746789084.8734434,1746789091.6353998
165000,1746789084.933949,1746789091.6959054
171000,1746789085.015559,1746789091.7775154
177000,1746789085.081041,1746789091.8429976
186000,1746789085.176762,1746789091.9387186
192000,1746789085.25824,1746789092.0201964
201000,1746789085.322026,1746789092.0839825
207000,1746789085.4170089,1746789092.1789653
213000,1746789085.4659104,1746789092.227867
219000,1746789085.5706127,1746789092.3325691
228000,1746789085.6257448,1746789092.3877013
234000,1746789085.690825,1746789092.4527814
240000,1746789085.769338,1746789092.5312943
249000,1746789085.8354707,1746789092.5974271
255000,1746789085.908248,1746789092.6702044
258000,1746789086.007477,1746789092.7694335
270000,1746789086.0717614,1746789092.8337178
273000,1746789086.1652834,1746789092.92724
282000,1746789086.229807,1746789092.9917634
288000,1746789086.309338,1746789093.0712945
294000,1746789086.3768005,1746789093.138757
300000,1746789086.4705286,1746789093.232485
309000,1746789086.5184395,1746789093.280396
315000,1746789086.588582,1746789093.3505385
321000,1746789086.684431,1746789093.4463875
327000,1746789086.741087,1746789093.5030434
336000,1746789086.8206236,1746789093.58258
342000,1746789086.8909276,1746789093.652884
351000,1746789086.982127,1746789093.7440834
357000,1746789087.0644414,1746789093.826398
360000,1746789087.1259696,1746789093.887926
369000,1746789087.2210534,1746789093.9830098
378000,1746789087.2848704,1746789094.0468268
384000,1746789087.3682814,1746789094.1302378
390000,1746789087.429891,1746789094.1918476
396000,1746789087.497115,1746789094.2590714
405000,1746789087.573937,1746789094.3358934
411000,1746789087.6434987,1746789094.405455
417000,1746789087.7341573,1746789094.4961138
423000,1746789087.8009207,1746789094.5628772
432000,1746789087.880557,1746789094.6425135
435000,1746789087.94645,1746789094.7084064
444000,1746789088.04964,1746789094.8115964
450000,1746789088.0962915,1746789094.858248
456000,1746789088.192619,1746789094.9545755
465000,1746789088.2534847,1746789095.0154412
468000,1746789088.3304844,1746789095.0924408
477000,1746789088.4225893,1746789095.1845458
483000,1746789088.520355,1746789095.2823114
495000,1746789088.5804,1746789095.3423564
501000,1746789088.6626883,1746789095.4246447
507000,1746789088.726327,1746789095.4882834
516000,1746789088.822849,1746789095.5848055
522000,1746789088.9013746,1746789095.663331
528000,1746789088.967375,1746789095.7293315
534000,1746789089.0300643,1746789095.7920208
540000,1746789089.0969868,1746789095.8589432
549000,1746789089.1748548,1746789095.9368112
552000,1746789089.2424183,1746789096.0043747
561000,1746789089.336408,1746789096.0983644
567000,1746789089.418161,1746789096.1801174
573000,1746789089.4792337,1746789096.2411902
579000,1746789089.5762634,1746789096.33822
588000,1746789089.6412554,1746789096.4032118
594000,1746789089.7231429,1746789096.4850993
603000,1746789089.7928023,1746789096.5547588
609000,1746789089.8830473,1746789096.6450038
615000,1746789089.936678,1746789096.6986344
624000,1746789090.025739,1746789096.7876954
630000,1746789090.0917385,1746789096.853695
636000,1746789090.1583197,1746789096.9202762
645000,1746789090.261957,1746789097.0239134
651000,1746789090.3259666,1746789097.087923
657000,1746789090.4232519,1746789097.1852083
666000,1746789090.4718668,1746789097.2338233
672000,1746789090.5669363,1746789097.3288927
678000,1746789090.629943,1746789097.3918993
684000,1746789090.7171025,1746789097.479059
693000,1746789090.7758179,1746789097.5377743
699000,1746789090.8491979,1746789097.6111543
705000,1746789090.9368563,1746789097.6988127
711000,1746789090.98781,1746789097.7497663
717000,1746789091.079115,1746789097.8410714
723000,1746789091.143265,1746789097.9052215
729000,1746789091.2543023,1746789098.0162587
741000,1746789091.2884035,1746789098.05036
747000,1746789091.3829503,1746789098.1449068
753000,1746789091.445462,1746789098.2074184
756000,1746789091.5259683,1746789098.2879248
765000,1746789091.5899727,1746789098.3519292
771000,1746789091.6855361,1746789098.4474926
780000,1746789091.76661,1746789098.5285664
786000,1746789091.8302507,1746789098.5922072
792000,1746789091.8933277,1746789098.6552842
798000,1746789091.9615908,1746789098.7235472
807000,1746789092.038006,1746789098.7999625
810000,1746789092.1345985,1746789098.896555
819000,1746789092.2060323,1746789098.9679887
825000,1746789092.2787547,1746789099.0407112
834000,1746789092.3421373,1746789099.1040938
840000,1746789092.413981,1746789099.1759374
846000,1746789092.5053067,1746789099.2672632
852000,1746789092.5908487,1746789099.3528051
861000,1746789092.6479707,1746789099.4099271
864000,1746789092.743746,1746789099.5057025
873000,1746789092.821826,1746789099.5837824
882000,1746789092.891616,1746789099.6535726
888000,1746789092.982245,1746789099.7442014
897000,1746789093.0620713,1746789099.8240278
903000,1746789093.1269774,1746789099.888934
909000,1746789093.2235587,1746789099.985515
918000,1746789093.2926505,1746789100.054607
924000,1746789093.3518598,1746789100.1138163
930000,1746789093.4394903,1746789100.2014468
936000,1746789093.4967566,1746789100.258713
