frame_count,raw_send_time,send_time
0,1746789083.0255053,1746789089.7874618
3000,1746789083.059548,1746789089.8215044
6000,1746789083.0735533,1746789089.8355098
9000,1746789083.089189,1746789089.8511455
12000,1746789083.1061468,1746789089.8681033
15000,1746789083.1241467,1746789089.8861032
18000,1746789083.14214,1746789089.9040964
21000,1746789083.1743853,1746789089.9363418
24000,1746789083.2065594,1746789089.9685159
27000,1746789083.2385564,1746789090.0005128
30000,1746789083.361849,1746789090.1238055
33000,1746789083.3883245,1746789090.150281
36000,1746789083.4103322,1746789090.1722887
39000,1746789083.4313226,1746789090.193279
42000,1746789083.4513316,1746789090.213288
45000,1746789083.4713352,1746789090.2332916
48000,1746789083.4958708,1746789090.2578273
51000,1746789083.515861,1746789090.2778175
54000,1746789083.5458875,1746789090.307844
57000,1746789083.5758748,1746789090.3378313
60000,1746789083.6069787,1746789090.368935
63000,1746789083.6249788,1746789090.3869352
66000,1746789083.652981,1746789090.4149375
69000,1746789083.6855845,1746789090.447541
72000,1746789083.7195902,1746789090.4815466
75000,1746789083.7852595,1746789090.547216
78000,1746789083.8170893,1746789090.5790458
81000,1746789083.8496275,1746789090.611584
84000,1746789083.8766365,1746789090.638593
87000,1746789083.8942556,1746789090.656212
90000,1746789083.926679,1746789090.6886353
93000,1746789083.9591196,1746789090.721076
96000,1746789083.99134,1746789090.7532964
99000,1746789084.0236192,1746789090.7855756
102000,1746789084.0570483,1746789090.8190048
105000,1746789084.0857477,1746789090.8477042
108000,1746789084.1204178,1746789090.8823743
111000,1746789084.1495488,1746789090.9115052
114000,1746789084.2001495,1746789090.962106
117000,1746789084.2328148,1746789090.9947712
120000,1746789084.264326,1746789091.0262825
123000,1746789084.294865,1746789091.0568213
126000,1746789084.3270326,1746789091.088989
129000,1746789084.360141,1746789091.1220975
132000,1746789084.3897078,1746789091.1516643
135000,1746789084.440003,1746789091.2019594
138000,1746789084.4720795,1746789091.234036
141000,1746789084.502202,1746789091.2641585
144000,1746789084.5345504,1746789091.296507
147000,1746789084.5648427,1746789091.3267992
150000,1746789084.6005101,1746789091.3624666
